Ano,Y,X1,X2,X3,X4,Tempo
2010,201.9,1.76,65.1,158.2,48.5,1
2011,256.0,1.67,72.3,195.8,66.7,2
2012,242.6,1.95,74.5,178.4,65.3,3
2013,242.2,2.16,76.8,172.5,64.0,4
2014,225.1,2.35,78.8,165.3,62.5,5
2015,191.1,3.33,75.2,138.7,64.6,6
2016,185.2,3.49,76.3,142.1,78.9,7
2017,217.7,3.19,80.7,158.9,70.3,8
2018,239.5,3.65,85.8,172.8,88.3,9
2019,225.4,3.95,87.5,168.5,72.0,10
2020,209.9,5.16,84.7,152.3,28.9,11
2021,280.8,5.40,94.4,198.7,50.4,12
2022,334.8,5.16,100.6,228.5,91.4,13
2023,339.7,4.99,104.9,215.8,64.9,14
2024,352.3,5.45,108.2,232.1,70.2,15
