Ano,PeD,PIB,Credito,Taxa_Selic
1990,2.85,1.65,125.4,45.2
1991,2.92,1.68,138.7,42.8
1992,2.78,1.66,142.3,38.5
1993,2.95,1.71,156.8,35.2
1994,3.12,1.78,178.5,32.1
1995,3.28,1.82,195.2,28.5
1996,3.45,1.86,218.9,25.8
1997,3.68,1.91,245.3,22.5
1998,3.82,1.89,238.6,28.2
1999,3.75,1.87,225.4,31.5
2000,4.05,1.95,268.9,18.5
2001,4.22,1.98,285.7,17.2
2002,4.18,2.01,278.5,19.8
2003,4.35,2.06,302.5,16.5
2004,4.68,2.15,345.8,14.2
2005,4.95,2.22,385.2,13.5
2006,5.28,2.29,428.6,12.8
2007,5.65,2.38,485.9,11.2
2008,5.92,2.45,512.3,12.5
2009,5.78,2.41,498.7,10.8
2010,6.35,2.56,568.5,9.5
2011,6.75,2.63,625.8,11.2
2012,7.02,2.68,658.2,8.5
2013,7.38,2.74,702.5,9.8
2014,7.65,2.78,735.9,11.5
2015,7.42,2.72,698.4,13.2
2016,7.28,2.69,678.5,14.8
2017,7.58,2.76,728.9,8.5
2018,7.95,2.83,785.6,6.2
2019,8.25,2.88,825.4,5.5
2020,8.02,2.75,795.8,3.8
2021,8.68,2.91,892.5,4.5
2022,9.15,2.98,958.7,12.8
2023,9.58,3.05,1025.3,11.5
