Year,Y,X1,X2,X3,X4,X5,Tempo
1947,60.323,83.0,234.289,2.356,1.590,107.608,1
1948,61.122,88.5,259.426,2.235,1.456,108.632,2
1949,60.171,88.2,258.054,3.682,1.616,109.773,3
1950,61.187,89.5,284.599,3.351,1.650,110.929,4
1951,63.221,96.2,328.975,2.099,3.099,112.075,5
1952,63.639,98.1,346.999,1.932,3.594,113.270,6
1953,64.989,99.0,365.385,1.870,3.547,115.094,7
1954,63.761,100.0,363.112,3.578,3.350,116.219,8
1955,66.019,101.2,397.469,2.904,3.048,117.388,9
1956,67.857,104.6,419.180,2.822,2.857,118.734,10
1957,68.169,108.4,442.769,2.936,2.798,120.445,11
1958,66.513,110.8,444.546,4.681,2.637,121.950,12
1959,68.655,112.6,482.704,3.813,2.552,123.366,13
1960,69.564,114.2,502.601,3.931,2.514,125.368,14
1961,69.331,115.7,518.173,4.806,2.572,127.852,15
1962,70.551,116.9,554.894,4.007,2.827,130.081,16
